"C00001","O"
"C00354","[C@@H]1([C@@H](C(O[C@@H]1COP(=O)(O)O)(COP(=O)(O)O)O)O)O"
"C00355","c1(c(ccc(c1)C[C@@H](C(=O)O)N)O)O"
"C00356","C(C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)[C@@](CC(=O)O)(C)O"
"C00357","[C@H]1([C@H]([C@@H]([C@H](OC1O)COP(=O)(O)O)O)O)NC(=O)C"
"C00360","n1(c2c(nc1)c(ncn2)N)[C@@H]1O[C@@H]([C@H](C1)O)COP(=O)(O)O"
"C00361","c12n([C@@H]3O[C@@H]([C@H](C3)O)COP(=O)(OP(=O)(O)O)O)cnc1c(=O)[nH]c(n2)N"
"C00362","c12n([C@@H]3O[C@@H]([C@H](C3)O)COP(=O)(O)O)cnc1c(=O)[nH]c(n2)N"
"C00363","[C@@H]1(n2c(=O)[nH]c(=O)c(c2)C)O[C@@H]([C@H](C1)O)COP(=O)(OP(=O)(O)O)O"
"C00364","[C@@H]1(n2c(=O)[nH]c(=O)c(c2)C)O[C@@H]([C@H](C1)O)COP(=O)(O)O"
"C00365","n1([C@@H]2O[C@@H]([C@H](C2)O)COP(=O)(O)O)c(=O)[nH]c(=O)cc1"
"C00366","c12c([nH]c(=O)[nH]c1=O)[nH]c(=O)[nH]2"
"C00369","[C@H]1([C@H]([C@@H]([C@H]([C@H](O1)O*)O)O)O[C@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)*)CO)CO"
"C00371","c12c(ncnc1NC/C=C(/CO)\C)[nH]cn2"
"C00374","[C@@H]1([C@@H]([C@H]([C@H](O[C@@H]1CO)O[C@@H]1[C@H](O[C@H]([C@@H]([C@H]1O)OS(=O)(=O)O)O[C@@H]1[C@H](OC([C@@H]([C@H]1O)NC(=O)C)*)COS(=O)(=O)O)C(=O)O)NS(=O)(=O)O)OS(=O)(=O)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](O1)C(=O)O)O*)O)OS(=O)(=O)O"
"C00376","C1(=C(CCCC1(C)C)C)/C=C/C(=C/C=C/C(=C/C=O)/C)/C"
"C00378","[n+]1(c(c(sc1)CCO)C)Cc1c(nc(nc1)C)N"
"C00379","OC[C@@H]([C@H]([C@@H](CO)O)O)O"
"C00380","n1c(cc[nH]c1=O)N"
"C00381","C(C/C(=C\CCC(C)CCO)/C)/C=C(/CC/C=C(/CCC=C(C)C)\C)\C"
"C00383","OC(=O)CC(=O)O"
"C00385","c12c([nH]c(=O)[nH]c1=O)nc[nH]2"
"C00386","[C@@H](Cc1c[nH]cn1)(NC(=O)CCN)C(=O)O"
"C00387","c12n([C@@H]3O[C@@H]([C@H]([C@H]3O)O)CO)cnc1c(=O)[nH]c(n2)N"
"C00388","c1c(nc[nH]1)CCN"
"C00389","c12c(oc(c(c1=O)O)c1cc(c(cc1)O)O)cc(cc2O)O"
"C00390","c1(c(c(c(c(c1O)C)C/C=C(/CCC=C(C)C)\C)O)OC)OC"
"C00392","OC[C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O"
"C00394","n1(c2c(nc1)c(=O)[nH]c(n2)N)C1O[C@@H]([C@H]([C@H]1O)O)COP(=O)(OP(=O)(O[C@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)O)O"
"C00395","[C@H]1(C(=O)N2[C@@H]1SC([C@@H]2C(=O)O)(C)C)NC(=O)*"
"C00397","[C@H]1([C@H]([C@@H]([C@H]([C@H](O1)O[C@H]1[C@@H](C[C@@H]([C@H]([C@@H]1O)O[C@H]1O[C@@H]([C@H](C[C@H]1N)O)CN)N)N)O)N)O)CO"
"C00398","c1ccc2c(c1)c(c[nH]2)CCN"
"C00399","C1(=C(C(=O)C(=C(C1=O)C)C/C=C(/CCC=C(C)C)\C)OC)OC"
"C00400","[C@@H]1([C@@H](C[C@@H](CC1)C)O)C(C)C"
"C00401","[C@H]1([C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]1[C@H]([C@@H](O[C@@H]([C@@H]1O)CO)O*)NC(=O)C)O)O)*)C(=O)O"
"C00402","[C@@H](CC(=O)O)(C(=O)O)N"
"C00406","C(=C\c1cc(c(cc1)O)OC)/C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O"
"C00407","[C@H]([C@H](CC)C)(C(=O)O)N"
"C00408","[C@H]1(CCCCN1)C(=O)O"
"C00409","CS"
"C00410","[C@H]12[C@H]([C@H]3[C@](CC2)([C@H](CC3)C(=O)C)C)CCC2=CC(=O)CC[C@]12C"
"C00411","C(=C\c1cc(c(c(c1)OC)O)OC)/C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O"
"C00412","C(C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)CCCCCCCCCCCCCCCC"
"C00413","[C@@H]1([C@H](O[C@@H]2[C@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)NC(=N)N)O)NC(=N)N)O[C@H]([C@@]1(C=O)O)C)O[C@H]1[C@H]([C@@H]([C@H]([C@@H](O1)CO)O)O)NC"
"C00414","C1(=O)CCCCC1"
"C00415","c12c(N=C(CN1)CNc1ccc(cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(=O)[nH]c(n2)N"
"C00416","P(=O)(OCC(OC(=O)*)COC(=O)*)(O)O"
"C00417","C(=C\C(=O)O)(/CC(=O)O)\C(=O)O"
"C00418","C([C@](CCO)(C)O)C(=O)O"
"C00422","C(COC(=O)*)(COC(=O)*)OC(=O)*"
"C00423","OC(=O)/C=C/c1ccccc1"
"C00424","[C@@H](C=O)(C)O"
"C00426","O([C@H]1[C@@H]([C@H]([C@@H](O[C@H]1C(=O)O)O[C@@H]1[C@H]([C@@H](O[C@@H]([C@@H]1O*)CO*)*)NC(=O)C)O*)O)*"
"C00427","[C@H]1([C@H]([C@H]2C[C@@H]1OO2)/C=C/[C@H](CCCCC)O)C/C=C\CCCC(=O)O"
"C00429","N1C(=O)CCNC1=O"
"C00430","C(=O)(CCC(=O)O)CN"
"C00431","C(CCCN)C(=O)O"
"C00433","C(=O)(C(=O)O)CCC=O"
"C00434","[C@H]1([C@H](C[C@@H](O1)*)OP(=O)(OC[C@H]1O[C@H](C[C@@H]1O)*)O)COP(=O)(O[C@@H]1[C@H](O[C@H](C1)*)CO)O.[C@H]1([C@H](C[C@@H](O1)*)OP(=O)(OC[C@H]1O[C@H](C[C@@H]1O)*)O)COP(=O)(O[C@@H]1[C@H](O[C@H](C1)*)CO)O"
"C00435",
"C00436","NCCCCNC(=O)N"
"C00437","[C@@H](NC(=O)C)(C(=O)O)CCCN"
"C00438","OC(=O)[C@H](CC(=O)O)NC(=O)N"
"C00439","OC(=O)[C@H](CCC(=O)O)NC=N"
"C00440","[nH]1c(nc2c(c1=O)N([C@H](CN2)CNc1ccc(cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O)C)N"
"C00441","OC(=O)[C@H](CC=O)N"
"C00445","c1([nH]c(=O)c2c(n1)NCC1[N+]2=CN(C1)c1ccc(cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O)N"
"C00446","[C@@H]1(O[C@@H]([C@@H]([C@@H]([C@H]1O)O)O)CO)OP(=O)(O)O"
"C00447","O(C[C@H]([C@H]([C@H]([C@@H](C(=O)COP(=O)(O)O)O)O)O)O)P(=O)(O)O"
"C00448","C(OP(=O)(OP(=O)(O)O)O)/C=C(/CC/C=C(/CCC=C(C)C)\C)\C"
"C00449","OC(=O)[C@H](CCC(=O)O)NCCCC[C@@H](C(=O)O)N"
"C00450","[C@H]1(CCCC=N1)C(=O)O"
"C00455","[C@@H]1([n+]2cc(ccc2)C(=O)N)O[C@@H]([C@H]([C@H]1O)O)COP(=O)(O)[O-]"
"C00458","n1([C@@H]2O[C@@H]([C@H](C2)O)COP(=O)(OP(=O)(OP(=O)(O)O)O)O)c(=O)nc(cc1)N"
"C00459","[C@@H]1(n2c(=O)[nH]c(=O)c(c2)C)O[C@@H]([C@H](C1)O)COP(=O)(OP(=O)(OP(=O)(O)O)O)O"
"C00460","n1([C@@H]2O[C@@H]([C@H](C2)O)COP(=O)(OP(=O)(OP(=O)(O)O)O)O)c(=O)[nH]c(=O)cc1"
"C00461","[C@H]1([C@H]([C@@H]([C@H]([C@@H](O1)*)NC(=O)C)O)O*)CO"
"C00463","c12c([nH]cc1)cccc2"
"C00464",
"C00468","[C@H]12[C@H]3[C@@H](c4c(CC3)cc(cc4)O)CC[C@@]1(C(=O)CC2)C"
"C00469","C(C)O"
"C00470","[C@H]1([C@@H]([C@@H]([C@H](C(O1)O)O)O)O[C@H]1O[C@@H]([C@@H]([C@@H]([C@H]1O)O)O[C@H]1O[C@@H]([C@@H]([C@@H]([C@H]1O)O)O)C(=O)O)C(=O)O)C(=O)O"
"C00472","C1(=O)C=CC(=O)C=C1"
"C00473","C1CCC(=C(C1(C)C)/C=C/C(=C/C=C/C(=C/CO)/C)/C)C"
"C00474","OC[C@@H]([C@@H]([C@@H](CO)O)O)O"
"C00475","[C@@H]1(n2c(=O)nc(cc2)N)O[C@@H]([C@H]([C@H]1O)O)CO"
"C00476","[C@H]1([C@@H](C(OC[C@H]1O)O)O)O"
"C00477","C12=CC(=O)[C@H]3[C@@]([C@H]2CC[C@]2([C@]1(CC[C@@H]2[C@@H]([C@@H](CCC(C)(C)O)O)C)O)C)(C[C@@H]([C@@H](C3)O)O)C"
"C00479","C(C=O)C"
"C00482","c1(cc(c(c(c1)OC)O)OC)/C=C/C(=O)O"
"C00483","c1(ccc(cc1)O)CCN"
"C00486","c1(c(c(c([nH]1)/C=C\1/C(=C(C(=O)N1)C)C=C)C)CCC(=O)O)Cc1c(c(c([nH]1)/C=C\1/C(=C(C(=O)N1)C=C)C)C)CCC(=O)O"
"C00487","OC(=O)CC(C[N+](C)(C)C)O"
"C00488","C(=O)N"
"C00489","C(=O)(CCCC(=O)O)O"
"C00490","OC(=O)C(=C)CC(=O)O"
"C00491","[C@H](CSSC[C@@H](C(=O)O)N)(C(=O)O)N"
"C00492","[C@]1(O[C@H]2O[C@H](CO[C@H]3O[C@@H]([C@@H]([C@@H]([C@H]3O)O)O)CO)[C@H]([C@@H]([C@H]2O)O)O)(O[C@@H]([C@H]([C@@H]1O)O)CO)CO"
"C00493","C1(=C[C@H]([C@H]([C@@H](C1)O)O)O)C(=O)O"
"C00494","[C@@H]1([C@@H](C[C@@H]([C@H]([C@@H]1O)O[C@H]1OC(=CC[C@H]1N)CN)N)N)O[C@@H]1[C@@H]([C@H]([C@@](CO1)(C)O)NC)O"
"C00497","[C@@H](CC(=O)O)(C(=O)O)O"
"C00498","n1(c2c(nc1)c(ncn2)N)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)COP(=O)(OP(=O)(O[C@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)O)O"
"C00499","C(NC(=O)N)(NC(=O)N)C(=O)O"
"C00500","c1(c(c(c([nH]1)/C=C\1/C(=C(C(=O)N1)C)C=C)C)CCC(=O)O)/C=C\1/C(=C(C(=N1)/C=C\1/C(=C(C(=O)N1)C=C)C)C)CCC(=O)O"
"C00501","[C@@H]1(n2c(=O)nc(cc2)N)O[C@@H]([C@H]([C@H]1O)O)COP(=O)(OP(=O)(O[C@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)O)O"
"C00502","OC[C@H]([C@@H]([C@H](C(=O)O)O)O)O"
"C00503","OC[C@H]([C@H](CO)O)O"
"C00504","c12c(nc(cn1)CNc1ccc(cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O)c(=O)[nH]c(n2)N"
"C00506","S(=O)(=O)(C[C@@H](C(=O)O)N)O"
"C00507","[C@H]1([C@H]([C@@H](OC([C@@H]1O)O)C)O)O"
"C00508","C1([C@H]([C@H](CO1)O)O)(CO)O"
"C00509","c12c(O[C@@H](CC1=O)c1ccc(cc1)O)cc(cc2O)O"
"C00510","C(C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)CCCCCC/C=C\CCCCCCCC"
"C00511","C(=O)(C=C)O"
"C00512","c1(C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]2[C@H]([C@H]([C@@H](O2)n2c3c(nc2)c(ncn3)N)O)OP(=O)(O)O)O)(C)C)O)ccccc1"
"C00513","[C@@H]1(n2c(=O)nc(cc2)N)O[C@@H]([C@H]([C@H]1O)O)COP(=O)(OP(=O)(OCC(CO)O)O)O"
"C00514","OC[C@H]([C@H]([C@@H]([C@@H](C(=O)O)O)O)O)O"
"C00515","C(=O)([C@@H](CCCN)N)O"
"C00517","C(CCCCCCCC)CCCCCCC=O"
"C00519","C(S(=O)O)CN"
"C00521","C1C[C@@H](CC=C1C)C(=C)C"
"C00522","OC(=O)[C@@H](C(CO)(C)C)O"
"C00523","[C@@H]12[C@@H]([C@@]3([C@@H](CC2)C[C@@H](CC3)O)C)CC[C@]2([C@H]1CCC2=O)C"
"C00524","c12=CC3=NC(=Cc4n5c(c(c4C)C(C)SC[C@H](NC(=O)*)C(=O)N*)C=C4N=C(C=c(n1[Fe]5)c(c2CCC(=O)O)C)C(=C4C)C(C)SC[C@@H](C(=O)N*)NC(=O)*)C(=C3CCC(=O)O)C"
"C00526","[C@@H]1(n2c(=O)[nH]c(=O)cc2)O[C@@H]([C@H](C1)O)CO"
"C00527","C(C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)CCC(=O)O"
"C00530","c1(ccc(cc1)O)O"
"C00531","C(C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)C(=C)C(=O)O"
"C00532","[C@H]([C@H](CO)O)([C@H](CO)O)O"
"C00533","O=[N]"
"C00534","c1(c(cnc(c1O)C)CO)CN"
"C00535","C1C(=O)C=C2[C@](C1)([C@@H]1[C@@H](CC2)[C@H]2[C@@](CC1)(C)[C@H](CC2)O)C"
"C00536","O(P(=O)(OP(=O)(O)O)O)P(=O)(O)O"
"C00540","C(=C\c1ccccc1)/C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O"
"C00541","[Co+]N1C2[C@@]3(N=C([C@H]([C@@]3(CC(=O)N)C)CCC(=O)N)/C(=C/3\N=C([C@H]([C@@]3(CC(=O)N)C)CCC(=O)N)/C=C/3\N=C(/C(=C\1/[C@@]([C@H]2CC(=O)N)(CCC(=O)NC[C@H](OP(=O)(O[C@H]1[C@H]([C@@H](n2cnc4c2cc(c(c4)C)C)O[C@@H]1CO)O)[O-])C)C)/C)[C@H](C3(C)C)CCC(=O)N)/C)C"
"C00543","N(C)C"
"C00544","c1(c(ccc(c1)O)O)CC(=O)O"
"C00545","C(=O)(O)[C@@H]([C@H]([C@H](CO)O)O)O"
"C00546","C(=O)(C=O)C"
"C00547","c1(ccc(c(c1)O)O)[C@H](CN)O"
"C00550","[C@H](COP(=O)(OCC[N+](C)(C)C)O)([C@@H](/C=C/CCCCCCCCCCCCC)O)NC(=O)*"
"C00552","OC(=O)[C@@H]([C@@H](C(=O)O)O)O"
"C00553","[C@@H]1([C@H](C[C@@H](CC1)C)O)C(C)C"
"C00555","C(CC=O)CN"
"C00556","c1(ccccc1)CO"
"C00558","C1([C@H]([C@H]([C@H](O1)C(=O)O)O)O)(CO)O"
"C00559","n1(c2c(nc1)c(ncn2)N)[C@@H]1O[C@@H]([C@H](C1)O)CO"
"C00561","c1([C@H](C#N)O)ccccc1"
"C00565","N(C)(C)C"
"C00566","C(C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)[C@](CC(=O)O)(C(=O)O)O"
"C00568","c1cc(ccc1C(=O)O)N"
"C00570","[C@@H]1(n2c(=O)nc(cc2)N)O[C@@H]([C@H]([C@H]1O)O)COP(=O)(OP(=O)(OCCN)O)O"
"C00571","C1(CCCCC1)N"
"C00573","O(S(=O)(=O)O)C[C@@H]1[C@@H](O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)COS(=O)(=O)O)O)O*)O)[C@@H]([C@H]([C@@H](O1)O[C@@H]1[C@H]([C@@H](O[C@@H]([C@@H]1O)CO)O[C@H]1[C@@H]([C@H]([C@@H](O[C@@H]1COS(=O)(=O)O)*)NC(=O)C)O)O)NC(=O)C)O"
"C00575","n1([C@H]2[C@@H]([C@H]3[C@H](O2)COP(=O)(O3)O)O)c2c(nc1)c(ncn2)N"
"C00576","[N+](CC=O)(C)(C)C"
"C00577","[C@@H](CO)(C=O)O"
"C00580","S(C)C"
"C00581","C(=O)(CNC(=N)N)O"
"C00582","C(C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)c1ccccc1"
"C00583","C(CO)(C)O"
"C00584","[C@H]1([C@H]([C@@H](CC1=O)O)/C=C/[C@H](CCCCC)O)C/C=C\CCCC(=O)O"
"C00587","c1(cc(ccc1)O)C(=O)O"
"C00588","C([N+](C)(C)C)COP(=O)(O)O"
"C00590","c1(ccc(c(c1)OC)O)/C=C/CO"
"C00593","C(S(=O)(=O)O)C=O"
"C00596","OC(=O)/C(=C\C=C)/O"
"C00599","C1C(=O)C=C2[C@](C1)([C@@H]1[C@@H](CC2)[C@H]2[C@](CC1)([C@H](CC2)[C@@H](CCCC(C)C)C)C)C"
"C00601","c1ccccc1CC=O"
"C00603","NC(=O)N[C@H](C(=O)O)O"
"C00605","C(=C\*)/C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O"
"C00606","[C@H](CS(=O)O)(C(=O)O)N"
"C00607","[C@H]1([C@H]([C@@H](O[C@@H]([C@@H]1O*)CO*)*)NC(=O)C)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)C(=O)O)O*)O)O*"
"C00609","C(C=O)C*"
"C00616","c1(c(c(=O)c2c(o1)cc(cc2O)O)OS(=O)(=O)O)c1ccc(c(c1)O)O"
"C00617","C1(n2c(=O)[nH]c(=O)cc2)O[C@@H]([C@H]([C@H]1O)O)COP(=O)(OP(=O)(O[C@H]1O[C@@H]([C@@H]([C@@H]([C@H]1O)O)O)C(=O)O)O)O"
"C00618","OC[C@@H]([C@H](C(=O)[C@@H](C(=O)O)O)O)O"
"C00620","[C@H]1([C@@H]([C@@H]([C@H](O1)CO)O)O)OP(=O)(O)O"
"C00621","C(C/C(=C\CCC(C)CCOP(=O)(OP(=O)(O)O)O)/C)/C=C(/CC/C=C(/CCC=C(C)C)\C)\C"
"C00623","O(C[C@H](CO)O)P(=O)(O)O"
"C00624","OC(=O)CC[C@@H](C(=O)O)NC(=O)C"
"C00627","c1(c(c(c(nc1)C)O)CO)COP(=O)(O)O"
"C00628","c1(c(ccc(c1)O)O)C(=O)O"
"C00630","C(C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)(C)C"
"C00631","P(=O)(O[C@@H](C(=O)O)CO)(O)O"
"C00632","c1(c(c(ccc1)O)N)C(=O)O"
"C00633","c1(ccc(cc1)O)C=O"
"C00634","[C@H]1([C@H]([C@@H](O[C@@H]([C@@H]1OS(=O)(=O)O)CO)O*)NC(=O)C)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)C(=O)O)*)O)O"
"C00636","[C@@H]1(O[C@@H]([C@H]([C@@H]([C@@H]1O)O)O)CO)OP(=O)(O)O"
"C00637","c1ccc2c(c1)c(c[nH]2)CC=O"
"C00638","C(=O)(O)CC*"
"C00639","[C@H]1([C@H]([C@@H](C[C@@H]1O)O)/C=C/[C@H](CCCCC)O)C/C=C\CCCC(=O)O"
"C00640","C(C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)[C@H](*)O"
"C00641","C(COC(=O)*)(OC(=O)*)CO"
"C00642","c1(ccc(cc1)O)CC(=O)O"
"C00643","c12c([nH]cc1C[C@H](N)C(=O)O)ccc(c2)O"
"C00644","[C@H]([C@@H]([C@@H](CO)O)O)([C@@H](COP(=O)(O)O)O)O"
"C00645","[C@@H]1([C@H]([C@@H]([C@H](OC1O)CO)O)O)NC(=O)C"
"C00647","c1(c(c(c(nc1)C)O)CN)COP(=O)(O)O"
"C00651","OC(=O)[C@H](CC(=C)C(=O)O)N"
"C00655","c12n([C@@H]3O[C@@H]([C@H]([C@H]3O)O)COP(=O)(O)O)cnc1c(=O)[nH]c(=O)[nH]2"
"C00658","C(=C\*)/C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O"
"C00663","[C@H]1(O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)OP(=O)(O)O"
"C00664","[nH]1c(nc2c(c1=O)N([C@H](CN2)CNc1ccc(cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O)C=N)N"
"C00665","[C@]1([C@H]([C@@H]([C@H](O1)COP(=O)(O)O)O)O)(OP(=O)(O)O)CO"
"C00666","[C@@H](C(=O)O)(CCC[C@@H](C(=O)O)N)N"
"C00668","P(=O)(OC[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)(O)O"
"C00669","C(=O)([C@H](CCC(=O)N[C@H](C(=O)O)CS)N)O"
"C00670","P(=O)(O)(OC[C@@H](CO)O)OCC[N+](C)(C)C"
"C00671","C(=O)([C@H](CC)C)C(=O)O"
"C00672","[C@@H]1(O[C@@H]([C@H](C1)O)CO)OP(=O)(O)O"
"C00673","P(=O)(OC[C@@H]1[C@H](CC(O1)O)O)(O)O"
"C00674","C1C(=O)C[C@H]2[C@](C1)([C@@H]1[C@@H](CC2)[C@H]2[C@](CC1)(C(=O)CC2)C)C"
"C00679","OC(=O)[C@@H]([C@H](CC(=O)C(=O)O)O)O"
"C00680","[C@H](C(=O)O)(CCC[C@@H](C(=O)O)N)N"
"C00681","*C(=O)OC[C@H](COP(=O)(O)O)O"
"C00682","O=C/C=C\C=C(/C(=O)O)\O"
"C00683","[C@@H](C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(COP(=O)(O)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)n1c2c(nc1)c(ncn2)N)O)OP(=O)(O)O)O)(C)C)O)(C(=O)O)C"
"C00684","OC(=O)C(=O)C[C@H](CO)O"
"C00688","[C@@H]1(n2c(=O)[nH]c(=O)c(c2)C)O[C@@H]([C@H](C1)O)COP(=O)(OP(=O)(O[C@@H]1[C@@H]([C@@H](C(=O)[C@@H](O1)C)O)O)O)O"
"C00689","[C@H]1(O[C@H]2O[C@@H]([C@H]([C@@H]([C@H]2O)O)O)CO)O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)COP(=O)(O)O"
"C00691","[C@@H]1([C@@H]([C@H](C(=O)[C@H]([C@@H]1O)O)O)O)O"
"C00692","[C@H]1([C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O[C@@H](C(=O)N[C@H](C(=O)N[C@H](CCC(=O)O)C(=O)O)C)C)NC(=O)C)OP(=O)(OP(=O)(OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1c(=O)[nH]c(=O)cc1)O)O"
"C00695","[C@H]12[C@H]3[C@@]([C@H](CC3)[C@@H](CCC(=O)O)C)([C@H](C[C@@H]1[C@@]1([C@H](C[C@H]2O)C[C@@H](CC1)O)C)O)C"
"C00696","[C@H]1([C@H](C(=O)C[C@@H]1O)/C=C/[C@H](CCCCC)O)C/C=C\CCCC(=O)O"
"C00697","N#N"
"C00698","[Cl-]"
"C00700","n1(c2c(nc1)c(=O)[nH]c(=O)[nH]2)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)COP(=O)(OP(=O)(OP(=O)(O)O)O)O"
"C00704","[O-][O]"
"C00705","n1([C@@H]2O[C@@H]([C@H](C2)O)COP(=O)(OP(=O)(O)O)O)c(=O)nc(cc1)N"
"C00707","C1[C@H]([C@@H]([C@H]([C@@H](O1)O*)O)O*)*.C1[C@H]([C@@H]([C@H]([C@@H](O1)O*)O)O)*"
"C00708","[I-]"
"C00712","C(C/C=C\CCCCCCCC)CCCCCC(=O)O"
"C00714","[C@@H]1([C@H](O[C@@H]([C@@H]([C@H]1O)O)O[C@H]1[C@H](O[C@@H]([C@@H]([C@H]1O)O)O*)C(=O)O)C(=O)OC)O[C@H]1O[C@@H]([C@@H]([C@@H]([C@H]1O)O)O[C@H]1O[C@@H]([C@@H]([C@@H]([C@H]1O)O)*)C(=O)OC)C(=O)O"
"C00716","C(C(=O)O)(CO)N"
"C00718","[C@H]1([C@H]([C@@H]([C@H]([C@H](O1)O*)O)O)*)CO"
"C00719","[N+](CC(=O)[O-])(C)(C)C"
"C00721","[C@H]1([C@H](O[C@@H]([C@@H]([C@H]1O)O)O*)CO)O[C@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)*)CO"
"C00725","S1SCCC1CCCCC(=O)O"
"C00726","C(#N)*"
"C00729","C12N(C(CC2)C[C@H](C1)O)C"
"C00734","[C@H]1([C@H]([C@@H]([C@H]([C@@H](O1)O[C@H]1[C@@H]([C@H]([C@@H](O[C@@H]1CO)O[C@H]1[C@@H]([C@H]([C@@H](O[C@@H]1CO)O)N)O)N)O)N)O)O)CO"
"C00735","[C@H]12[C@H]3[C@@H]([C@@]4(C(=CC(=O)CC4)CC3)C)[C@H](C[C@@]1([C@](CC2)(C(=O)CO)O)C)O"
"C00739","[C@@H](CCCCN)(C(=O)O)N"
"C00740","[C@H](C(=O)O)(CO)N"
"C00741","C(=O)(C(=O)C)C"
